epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,319.64,1.77734,1.14666,0.96793,0.79218,0.54274,0.62381,0.29682,1.89889,1.25767,1.00213,0.00715761,0.00715761,0.00715761
74,324.026,1.75844,1.14413,0.99272,0.76636,0.56123,0.5872,0.30318,1.86596,1.12304,0.99168,0.007087,0.007087,0.007087
75,328.356,1.75907,1.14267,0.98614,0.79153,0.51843,0.69905,0.29133,1.88296,1.18439,1.00537,0.00701588,0.00701588,0.00701588
76,332.729,1.803,1.18064,0.98225,0.77461,0.52418,0.64542,0.30595,1.80879,1.14477,0.99389,0.00694428,0.00694428,0.00694428
77,337.12,1.77693,1.16633,0.98478,0.8035,0.55582,0.58607,0.29185,1.85388,1.15341,0.98923,0.00687222,0.00687222,0.00687222
78,341.422,1.79187,1.1629,0.98482,0.79636,0.5196,0.52308,0.25654,1.96823,1.13848,1.0148,0.0067997,0.0067997,0.0067997
79,345.775,1.79582,1.17743,0.98519,0.80322,0.52351,0.62555,0.25984,2.01598,1.19038,1.03091,0.00672675,0.00672675,0.00672675
80,350.23,1.74678,1.12379,0.97309,0.79463,0.56104,0.59424,0.28422,1.87043,1.13927,1.00141,0.00665339,0.00665339,0.00665339
81,354.57,1.78621,1.16787,0.98547,0.78224,0.53914,0.5425,0.2832,1.82314,1.15362,0.98739,0.00657963,0.00657963,0.00657963
82,358.952,1.77637,1.15365,0.98088,0.78179,0.5363,0.53516,0.29263,1.81919,1.20131,0.98629,0.0065055,0.0065055,0.0065055
83,363.301,1.7581,1.10351,0.97526,0.78261,0.53166,0.56623,0.28518,1.82688,1.14551,0.98514,0.00643101,0.00643101,0.00643101
84,367.696,1.84922,1.18304,0.99232,0.76946,0.54618,0.55857,0.27193,1.93619,1.17657,0.99688,0.00635617,0.00635617,0.00635617
85,372.047,1.8487,1.15424,0.99327,0.70782,0.52405,0.55416,0.29197,1.83666,1.22117,0.98969,0.00628101,0.00628101,0.00628101
86,376.557,1.80888,1.17651,0.97448,0.79686,0.5233,0.61134,0.2571,2.10794,1.27561,1.02324,0.00620555,0.00620555,0.00620555
87,380.989,1.82772,1.1879,0.98896,0.75026,0.54095,0.57474,0.2906,1.961,1.17518,0.99869,0.00612981,0.00612981,0.00612981
88,385.371,1.78814,1.16174,0.98417,0.76441,0.53447,0.52976,0.24748,1.91236,1.19249,0.99819,0.0060538,0.0060538,0.0060538
89,389.787,1.74751,1.12042,0.97906,0.78138,0.51625,0.58603,0.27783,1.95914,1.19548,0.99806,0.00597754,0.00597754,0.00597754
90,394.195,1.754,1.11766,0.978,0.795,0.52956,0.57749,0.28401,1.89351,1.14434,0.99534,0.00590105,0.00590105,0.00590105
91,398.617,1.77547,1.12465,0.98041,0.78181,0.56308,0.5899,0.31195,1.89573,1.12877,0.99855,0.00582435,0.00582435,0.00582435
92,403.058,1.73581,1.09143,0.97377,0.78554,0.52604,0.56173,0.27914,1.88987,1.1526,0.99549,0.00574746,0.00574746,0.00574746
93,407.4,1.74383,1.12683,0.97511,0.78305,0.52719,0.62477,0.29644,1.94251,1.09938,1.00616,0.0056704,0.0056704,0.0056704
94,411.784,1.75612,1.10514,0.9798,0.75603,0.55994,0.58756,0.29185,1.86901,1.16005,0.9997,0.00559318,0.00559318,0.00559318
95,416.147,1.75746,1.14808,0.98077,0.75643,0.50804,0.54029,0.27607,1.89405,1.24955,0.98655,0.00551584,0.00551584,0.00551584
96,420.559,1.74268,1.16185,0.96727,0.77492,0.52153,0.56467,0.25038,2.00061,1.15442,1.01298,0.00543837,0.00543837,0.00543837
97,424.976,1.73566,1.1239,0.96697,0.7642,0.5466,0.62406,0.29553,1.81241,1.14279,0.98643,0.00536081,0.00536081,0.00536081
98,429.435,1.73482,1.11545,0.96819,0.73721,0.56698,0.56916,0.2839,1.89482,1.13585,0.99486,0.00528318,0.00528318,0.00528318
99,433.807,1.74427,1.11436,0.97495,0.75042,0.55806,0.57152,0.29465,1.87702,1.12463,0.9855,0.00520548,0.00520548,0.00520548
100,438.201,1.77232,1.13125,0.9746,0.79838,0.54147,0.66218,0.33503,1.8175,1.12137,0.98227,0.00512775,0.00512775,0.00512775
101,442.567,1.73997,1.0964,0.9746,0.74253,0.56154,0.58567,0.32021,1.80287,1.10715,0.97568,0.00505,0.00505,0.00505
102,446.938,1.70815,1.10369,0.96723,0.80919,0.53468,0.56436,0.25541,2.04402,1.14413,1.02095,0.00497225,0.00497225,0.00497225
103,451.31,1.75205,1.12068,0.97496,0.78497,0.56202,0.56142,0.29933,1.84307,1.09485,0.99172,0.00489452,0.00489452,0.00489452
104,455.686,1.71105,1.09687,0.97498,0.74368,0.58127,0.56185,0.29498,1.8666,1.10674,0.99199,0.00481682,0.00481682,0.00481682
105,460.101,1.7361,1.09194,0.96602,0.78397,0.56421,0.64049,0.31228,1.83436,1.15834,0.98266,0.00473919,0.00473919,0.00473919
106,464.485,1.70693,1.10013,0.95733,0.78505,0.53705,0.54181,0.29418,1.79364,1.0891,0.98088,0.00466163,0.00466163,0.00466163
107,468.881,1.71265,1.09735,0.95973,0.77714,0.54488,0.54737,0.29979,1.86072,1.10311,0.98844,0.00458416,0.00458416,0.00458416
108,473.276,1.7149,1.07816,0.95834,0.77959,0.55415,0.54113,0.29705,1.76482,1.12019,0.9822,0.00450682,0.00450682,0.00450682
109,477.709,1.71542,1.07998,0.95813,0.76644,0.54694,0.65923,0.32431,1.86807,1.09584,0.99766,0.0044296,0.0044296,0.0044296
110,482.166,1.68908,1.05918,0.96262,0.79776,0.53336,0.65752,0.29461,1.88853,1.12678,0.98859,0.00435254,0.00435254,0.00435254
111,486.535,1.70338,1.08564,0.9705,0.7765,0.56546,0.67958,0.31452,1.83413,1.09154,0.98309,0.00427565,0.00427565,0.00427565
112,491.013,1.73066,1.08643,0.97781,0.79373,0.55508,0.63661,0.31912,1.9513,1.11903,1.00633,0.00419895,0.00419895,0.00419895
113,495.424,1.70725,1.06419,0.96448,0.79118,0.54152,0.71534,0.34266,1.80256,1.07932,0.9834,0.00412246,0.00412246,0.00412246
114,499.828,1.67861,1.07078,0.96009,0.79144,0.55993,0.65648,0.32691,1.82177,1.10342,0.98398,0.0040462,0.0040462,0.0040462
