epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,439.739,1.74572,1.06191,0.9231,0.84378,0.49869,0.51478,0.25267,2.01264,1.23122,1.0715,0.000216423,0.000216423,0.000216423
124,443.28,1.70322,1.02717,0.92292,0.82303,0.50506,0.51265,0.25252,2.02384,1.23277,1.06775,0.00020909,0.00020909,0.00020909
125,446.877,1.64707,1.0485,0.90906,0.81796,0.50684,0.51523,0.24713,2.04504,1.24997,1.07276,0.000201758,0.000201758,0.000201758
126,450.488,1.68049,1.02141,0.91434,0.80947,0.51055,0.51164,0.24793,2.03085,1.23596,1.06457,0.000194425,0.000194425,0.000194425
127,454.018,1.6642,1.05296,0.9213,0.8056,0.51017,0.51239,0.24971,2.01623,1.2322,1.06781,0.000187092,0.000187092,0.000187092
128,457.62,1.69242,1.05474,0.91396,0.81746,0.49178,0.51352,0.24513,2.03081,1.23324,1.07361,0.00017976,0.00017976,0.00017976
129,461.157,1.70329,1.05422,0.91943,0.83843,0.47924,0.51419,0.24571,2.05722,1.22833,1.07776,0.000172427,0.000172427,0.000172427
130,464.705,1.64737,1.03973,0.91033,0.80173,0.51135,0.51697,0.25915,2.03945,1.22923,1.06581,0.000165095,0.000165095,0.000165095
131,468.218,1.63124,1.0453,0.9112,0.80158,0.5106,0.51707,0.26202,2.03618,1.22739,1.05988,0.000157762,0.000157762,0.000157762
132,471.786,1.62705,1.04141,0.91617,0.80378,0.50849,0.51629,0.25956,2.02831,1.22641,1.05741,0.000150429,0.000150429,0.000150429
133,475.422,1.67556,1.04107,0.90501,0.80128,0.50621,0.51235,0.2535,2.02512,1.22164,1.05948,0.000143097,0.000143097,0.000143097
134,480.772,1.64389,1.01589,0.91199,0.79855,0.50601,0.52773,0.26439,2.01503,1.20981,1.05836,0.000135764,0.000135764,0.000135764
135,484.335,1.65291,1.02727,0.91034,0.81481,0.49871,0.52839,0.26458,2.01944,1.20984,1.05575,0.000128432,0.000128432,0.000128432
136,487.92,1.68273,1.05906,0.92228,0.82193,0.50129,0.53033,0.26023,2.018,1.22125,1.05589,0.000121099,0.000121099,0.000121099
137,491.489,1.67568,1.05314,0.91235,0.82094,0.50034,0.52878,0.25546,2.03469,1.235,1.05886,0.000113766,0.000113766,0.000113766
138,495.121,1.71161,1.05257,0.91957,0.82767,0.48627,0.52357,0.25612,2.04283,1.23598,1.05799,0.000106434,0.000106434,0.000106434
139,498.631,1.64434,1.01585,0.91576,0.83945,0.49925,0.52232,0.26472,2.03152,1.23211,1.05469,9.91012e-05,9.91012e-05,9.91012e-05
140,502.253,1.67789,1.04119,0.91019,0.82934,0.50505,0.5234,0.26608,2.02794,1.22688,1.05813,9.17686e-05,9.17686e-05,9.17686e-05
141,506.709,1.68823,1.20519,0.9268,0.83828,0.49153,0.50846,0.25651,2.02416,1.23157,1.06062,8.4436e-05,8.4436e-05,8.4436e-05
142,510.109,1.75643,1.22969,0.92487,0.86345,0.46144,0.50757,0.24563,2.03044,1.25773,1.07011,7.71034e-05,7.71034e-05,7.71034e-05
143,513.449,1.72132,1.23478,0.92085,0.82679,0.47506,0.50194,0.24238,2.04452,1.2572,1.08028,6.97708e-05,6.97708e-05,6.97708e-05
144,516.796,1.65836,1.14543,0.92093,0.8514,0.4561,0.50113,0.23765,2.02984,1.26248,1.07424,6.24382e-05,6.24382e-05,6.24382e-05
145,520.141,1.70338,1.16199,0.9313,0.86288,0.45239,0.49812,0.23944,2.03155,1.26892,1.06817,5.51056e-05,5.51056e-05,5.51056e-05
146,523.522,1.65559,1.12333,0.91802,0.81231,0.46663,0.49312,0.23828,2.03105,1.26322,1.06803,4.7773e-05,4.7773e-05,4.7773e-05
147,526.876,1.67517,1.12694,0.93023,0.84274,0.48542,0.51049,0.24086,2.02919,1.2518,1.0651,4.04404e-05,4.04404e-05,4.04404e-05
148,530.238,1.62683,1.09853,0.91529,0.84141,0.49106,0.50541,0.23873,2.02581,1.25236,1.06363,3.31078e-05,3.31078e-05,3.31078e-05
149,533.602,1.68612,1.1544,0.93012,0.83961,0.49204,0.5142,0.24276,2.02694,1.24549,1.06097,2.57752e-05,2.57752e-05,2.57752e-05
150,536.998,1.68158,1.14766,0.91509,0.82933,0.49339,0.51275,0.24521,2.02313,1.23649,1.06123,1.84426e-05,1.84426e-05,1.84426e-05
